,worth_it,n_cotistas_banco_comercial_std,n_cotistas_corretora_ou_distribuidora_mean,n_cotistas_corretora_ou_distribuidora_std,n_cotistas_sociedade_de_capitalizacao_mean,n_cotistas_sociedade_de_capitalizacao_std,n_cotistas_distribuidores_de_fundo_mean,n_cotistas_distribuidores_de_fundo_std,n_cotistas_nao_relacionados_mean,n_cotistas_nao_relacionados_std,valor_patrimonial_das_cotas_mean,despesas_com_taxas_de_adm_em_relacao_ao_patrimonio_mean,despesas_com_taxas_de_adm_em_relacao_ao_patrimonio_std,dividend_yield_mean,dividend_yield_std,total_mantido_para_necessidade_de_liquidez_titulos_privados_mean,total_mantido_para_necessidade_de_liquidez_titulos_privados_std,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_em_construcao_mean,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_em_construcao_std,total_investido_direitos_reais_sobre_bens_outros_direitos_reais_std,total_investido_acoes_mean,total_investido_acoes_std,total_investido_debentures_mean,total_investido_debentures_std,total_investido_subscricao_mean,total_investido_subscricao_std,total_investido_depositos_de_valores_mobiliarios_mean,total_investido_depositos_de_valores_mobiliarios_std,total_investido_cedulas_debentures_mean,total_investido_cedulas_debentures_std,total_investido_fia_mean,total_investido_fia_std,total_investido_fip_mean,total_investido_fip_std,total_investido_fidc_mean,total_investido_fidc_std,total_investido_notas_promissorias_mean,total_investido_notas_promissorias_std,total_investido_cepac_mean,total_investido_cepac_std,total_investido_letras_hipotecarias_mean,total_investido_letras_hipotecarias_std,total_investido_lig_mean,total_investido_lig_std
worth_it,1.0,-0.19561519910898795,0.06265975394946088,0.22920968875004877,,,,,-0.09606887428740839,0.33643195320396047,-0.15608722153339094,,,0.566799736554077,0.08404323669358792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_banco_comercial_std,-0.19561519910898795,1.0,-0.26502790751845545,-0.11773873691302648,,,,,-0.1849233178066319,-0.1553420316558083,-0.3453855334407371,,,0.009465004677157815,0.37795006096844874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_corretora_ou_distribuidora_mean,0.06265975394946088,-0.26502790751845545,1.0,-0.22385131473012576,,,,,0.23882440526223508,-0.31343896692002304,-0.2982076943954879,,,-0.20411476763867947,-0.045357584635202675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_corretora_ou_distribuidora_std,0.22920968875004877,-0.11773873691302648,-0.22385131473012576,1.0,,,,,-0.041461733814357034,0.24693399434309019,-0.03127070375498553,,,0.032844547897778714,-0.21333740534398643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_sociedade_de_capitalizacao_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_sociedade_de_capitalizacao_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_distribuidores_de_fundo_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_distribuidores_de_fundo_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_nao_relacionados_mean,-0.09606887428740839,-0.1849233178066319,0.23882440526223508,-0.041461733814357034,,,,,1.0,0.4386973501263493,0.14671278834385612,,,-0.11390628167492416,-0.46209431427643705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_cotistas_nao_relacionados_std,0.33643195320396047,-0.1553420316558083,-0.31343896692002304,0.24693399434309019,,,,,0.4386973501263493,1.0,0.2095524026040274,,,0.2952051290997577,-0.3016135388700716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
