nome_do_titulo,worth_it,nome_do_fundo,data_da_analise,numeroTotalDeCotistas,n_cotistas_pessoa_fisica,n_cotistas_pessoa_juridica_nao_financeira,n_cotistas_banco_comercial,n_cotistas_corretora_ou_distribuidora,n_cotistas_outras_pessoas_juridicas_financeiras,n_cotistas_investidores_nao_residentes,n_cotistas_entidade_aberta_de_previdencia,n_cotistas_entidade_fechada_de_previdencia,n_cotistas_regime_proprio_de_previdencia,n_cotistas_sociedade_seguradora,n_cotistas_sociedade_de_capitalizacao,n_cotistas_fiis,n_cotistas_outros_fundos_de_investimento,n_cotistas_distribuidores_de_fundo,n_cotistas_nao_relacionados,ativos,patrimonio_liquido,n_de_cotas_emitidas,valor_patrimonial_das_cotas,despesas_com_taxas_de_adm_em_relacao_ao_patrimonio,despesas_com_agente_custodiante_em_relacao_ao_patrimonio,rentabilidade_efetiva_mensal,rentabilidade_patrimonial,dividend_yield,amortizacoes_de_cotas_no_mes_ref,total_mantido_para_necessidade_de_liquidez,total_mantido_para_necessidade_de_liquidez_disponibilidade,total_mantido_para_necessidade_de_liquidez_titulos_publicos,total_mantido_para_necessidade_de_liquidez_titulos_privados,total_mantido_para_necessidade_de_liquidez_fundos_de_renda_fixa,total_investido,total_investido_direitos_reais_sobre_bens,total_investido_direitos_reais_sobre_bens_terrenos,total_investido_direitos_reais_sobre_bens_imoveis_para_renda_acabados,total_investido_direitos_reais_sobre_bens_imoveis_para_renda_em_construcao,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_acabados,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_em_construcao,total_investido_direitos_reais_sobre_bens_outros_direitos_reais,total_investido_acoes,total_investido_debentures,total_investido_subscricao,total_investido_depositos_de_valores_mobiliarios,total_investido_cedulas_debentures,total_investido_fia,total_investido_fip,total_investido_fii,total_investido_fidc,total_investido_outras_cotas_de_fundos,total_investido_notas_promissorias,total_investido_acoes_de_sociedades,total_investido_cotas_de_sociedades,total_investido_cepac,total_investido_cri_ou_cra,total_investido_letras_hipotecarias,total_investido_lci_ou_lca,total_investido_lig,total_investido_outros_valores_mobiliarios,valores_a_receber,valores_a_receber_por_alugueis,valores_a_receber_por_venda_de_imoveis,valores_a_receber_por_outros,passivo_rendimentos_a_distribuir,passivo_taxa_de_adm,passivo_taxa_de_performance,passivo_obrigacoes_por_aquisicao_de_imoveis,passivo_adiantamento_por_venda_de_imoveis,passivo_adiantamento_de_valores_de_alugueis,passivo_obrigacoes_por_securitizacao_de_recebiveis,passivo_instrumentos_financeiros_derivativos,passivo_provisoes_para_contingencias,passivo_outros_valores_a_pagar,passivo_total
BTCI11,1,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,12/2023,148117,147909,149,0,2,0,11,1,2,0,0,0,22,20,0,1,1045483782.22,1034376297.85,99521172.0,10.39353,0,0.0,2.1072,1.4096,0.6976,0.0,146808555.88,0.0,0.0,0.0,146808555.88,897289602.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84866449.75,0.0,0.0,0.0,0.0,0.0,0.0,812423153.03,0.0,0.0,0.0,0.0,1385623.56,0.0,0.0,1385623.56,9354990.19,844548.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907945.72,11107484.37
BTCI11,1,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,10/2023,134398,134193,148,0,2,0,10,0,1,1,0,0,27,16,0,0,1011781738.15,1010044775.69,99521172.0,10.149044,0,0.0,1.6098,0.5935,1.0163,0.0,70579691.51,0.0,0.0,0.0,70579691.51,939951416.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83065883.44,0.0,0.0,0.0,0.0,0.0,0.0,856885533.42,0.0,0.0,0.0,0.0,1250629.78,0.0,0.0,1250629.78,0.0,854803.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882158.52,1736962.46
BTCI11,1,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,09/2023,123083,122887,141,0,2,0,10,0,1,1,0,0,25,16,0,0,1019778135.38,1004085952.88,99521172.0,10.089169,0,0.0,-0.8469,-1.9631,1.1162,0.0,27660194.81,0.0,0.0,0.0,27660194.81,990860970.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84206338.16,0.0,0.0,0.0,0.0,0.0,0.0,906654632.61,0.0,0.0,0.0,0.0,1256969.8,0.0,0.0,1256969.8,13972993.92,842820.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876367.75,15692182.5
BTCI11,1,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,08/2023,110543,110353,134,0,2,0,8,0,1,1,0,0,26,18,0,0,1038484456.17,1024192221.83,99521172.0,10.291199,0,0.0,0.5949,-0.0604,0.6553,0.0,109704682.19,149.79,0.0,0.0,109704532.4,927515755.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83768770.96,0.0,0.0,0.0,0.0,0.0,0.0,843746984.8,0.0,0.0,0.0,0.0,1264018.22,0.0,0.0,1264018.22,12593033.99,829238.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869961.82,14292234.34
BTCI11,1,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,07/2023,98616,98426,132,0,2,0,9,0,1,1,0,0,27,18,0,0,1042430688.69,1024811117.16,99521172.0,10.297418,0,0.0,1.0247,-0.1269,1.1516,0.0,131173021.99,149.79,0.0,0.0,131172872.2,909990100.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82819383.62,0.0,0.0,0.0,0.0,0.0,0.0,827170716.95,0.0,0.0,0.0,0.0,1267566.13,0.0,0.0,1267566.13,15929590.63,823993.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865987.07,17619571.53
BTCI11,1,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,12/2023,148117,147909,149,0,2,0,11,1,2,0,0,0,22,20,0,1,1045483782.22,1034376297.85,99521172.0,10.39353,0,0.0,2.1072,1.4096,0.6976,0.0,146808555.88,0.0,0.0,0.0,146808555.88,897289602.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84866449.75,0.0,0.0,0.0,0.0,0.0,0.0,812423153.03,0.0,0.0,0.0,0.0,1385623.56,0.0,0.0,1385623.56,9354990.19,844548.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907945.72,11107484.37
KNIP11,1,KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,12/2023,75213,74881,185,0,2,0,21,1,8,0,0,0,42,70,0,3,8573533967.62,7937902259.41,80078186.0,99.126899,0,0.0,2.0207,1.2546,0.7661,0.0,144861595.84,40509.88,144821085.96,0,0,8426988672.41,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18687975.12,0,0,0,0,0,0,8136264968.55,0,272035728.74,0,0,1683699.37,0,0,1683699.37,60058810.5,6272421.28,0,0,0,0,0,0,0,569300476.43,635631708.21
KNIP11,1,KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11/2023,74995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8464964296.05,7839550472.32,80078186.0,97.898702,0,0.0,2.5352,1.8073,0.7279,0.0,176002064.71,42834.17,175959230.54,0,0,8287273278.47,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19784750.32,0,0,0,0,0,0,7942825668.43,0,324662859.72,0,0,1688952.87,0,0,1688952.87,56054901.2,6192053.48,0,0,0,0,0,0,0,563166869.05,625413823.73
KNIP11,1,KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,10/2023,75017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8320917038.76,7700383537.61,80078186.0,96.160814,0,0.0,-0.7555,-1.4727,0.7172,0.0,445487652.04,41900.65,445445751.39,0,0,7873734248.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20263366.33,0,0,0,0,0,0,7819326211.04,0,34144671.31,0,0,1695138.04,0,0,1695138.04,56054901.2,6489917.25,0,0,0,0,0,0,0,557988682.7,620533501.15
KNIP11,1,KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,09/2023,74724,74393,193,0,2,0,24,1,8,0,0,0,38,62,0,3,8536741325.61,7815483499.63,80078186.0,97.598159,0,0.0,-0.9086,-1.5141,0.6055,0.0,521678314.89,33409.97,521644904.92,0,0,8013362400.24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21140712.8,0,0,0,0,0,0,7992221687.44,0,0,0,0,1700610.48,0,0,1700610.48,48047082.6,6280602.91,0,0,0,0,0,0,0,666930140.47,721257825.98
